Username,Rank,CurrConSolved,time_taken,total_fail,ContestCnt,Total_solved,CurrRating,rating_jump,Reputation,active_days,rule_score,lof_normalized,final_score,suspicious,rating_bucket,triggered_rules
ZI0iiFqDP6,143,4,2000,0,1,4,1852,-1,0,0,12.0,0.36802084911250527,12.368020849112506,True,B (1800-2000),Near-zero active time with high score | new user high rank | Perfect solve | Weak profile | Ghost profile high rank
cjycleaner,98,4,2445,4,1,4,2249,528,0,0,12.0,0.3344907859990647,12.334490785999066,True,S (2200+),Near-zero active time with high score | new user high rank | Weak profile | Low solved high rating | Ghost profile high rank
sharmi_naidu,65,4,1346,0,2,12,1732,318,0,7,12.0,0.31762304545938586,12.317623045459387,True,C (1600-1800),Near-zero active time with high score | new user high rank | Perfect solve | Weak profile | Ghost profile high rank
nducy313,13,4,781,0,5,61,2408,509,0,48,12.0,0.28567683585310444,12.285676835853105,True,S (2200+),Near-zero active time with high score | new user high rank | Perfect solve | Weak profile | Low solved high rating
Idris20,121,4,1719,0,2,10,1758,270,0,8,12.0,0.2703070490915511,12.270307049091551,True,C (1600-1800),Near-zero active time with high score | new user high rank | Perfect solve | Weak profile | Ghost profile high rank
Mona0405,4,4,552,0,1,95,2467,409,0,0,12.0,0.26275401736164883,12.26275401736165,True,S (2200+),Near-zero active time with high score | new user high rank | Perfect solve | Weak profile | Low solved high rating
aum__023,184,4,2102,0,2,21,1786,-51,0,7,12.0,0.2613926073897407,12.261392607389741,True,C (1600-1800),Near-zero active time with high score | new user high rank | Perfect solve | Weak profile | Ghost profile high rank
md0n-cmd,63,4,1327,2,2,20,1959,238,0,0,12.0,0.25507592390424966,12.255075923904249,True,B (1800-2000),Near-zero active time with high score | new user high rank | Weak profile | Low solved high rating | Ghost profile high rank
ScMogEx4a7,21,4,1141,2,1,4,2056,92,0,0,12.0,0.23287444951189598,12.232874449511897,True,A (2000-2200),Near-zero active time with high score | new user high rank | Weak profile | Low solved high rating | Ghost profile high rank
Suprajit-,174,4,2055,0,2,87,2068,227,0,6,12.0,0.2138677105385236,12.213867710538523,True,A (2000-2200),Near-zero active time with high score | new user high rank | Perfect solve | Weak profile | Low solved high rating
MaiHoonDawn,196,4,3167,1,3,26,2104,614,0,21,12.0,0.19503868074509367,12.195038680745094,True,A (2000-2200),Near-zero active time with high score | new user high rank | Weak profile | Low solved high rating | Ghost profile high rank
muthu_2k05,122,4,1728,1,5,43,1924,450,0,35,12.0,0.1740019465755628,12.174001946575563,True,B (1800-2000),Near-zero active time with high score | new user high rank | Weak profile | Low solved high rating | Ghost profile high rank
6YVIKWk8ZA,73,4,1340,1,3,13,2178,337,0,8,12.0,0.16667359711544652,12.166673597115446,True,A (2000-2200),Near-zero active time with high score | new user high rank | Weak profile | Low solved high rating | Ghost profile high rank
prisms,41,4,1581,1,1,12,1905,-20,0,0,12.0,0.105059281695215,12.105059281695215,True,B (1800-2000),Near-zero active time with high score | new user high rank | Weak profile | Low solved high rating | Ghost profile high rank
akanshatic,27,4,1334,0,2,15,2532,1099,0,77,11.0,0.27476976863329877,11.274769768633298,True,S (2200+),new user high rank | Perfect solve | Weak profile | Low solved high rating | Ghost profile high rank
mayankapgate86tgp,28,4,1339,0,5,20,1909,469,0,175,11.0,0.25223978899388166,11.252239788993881,True,B (1800-2000),new user high rank | Perfect solve | Weak profile | Low solved high rating | Ghost profile high rank
RMQuan,112,4,1648,0,4,46,2152,380,0,190,11.0,0.08455824761897968,11.084558247618979,True,A (2000-2200),new user high rank | Perfect solve | Weak profile | Low solved high rating | Ghost profile high rank
navigante,59,4,1900,0,1,550,1767,-137,0,0,8.0,2.9999999990409405,10.999999999040941,True,C (1600-1800),Near-zero active time with high score | new user high rank | Perfect solve
VyD0vaazHd,101,4,1639,4,2,8,1776,-97,0,7,10.0,0.8609819935811018,10.860981993581103,True,C (1600-1800),Near-zero active time with high score | new user high rank | Weak profile | Ghost profile high rank
ysjagan,121,4,2650,7,3,12,1660,-34,0,8,10.0,0.7119746884560749,10.711974688456074,True,C (1600-1800),Near-zero active time with high score | new user high rank | Weak profile | Ghost profile high rank
sharanyanjs,23,4,887,2,3,80,2056,118,0,8,10.0,0.6598478540765677,10.659847854076567,True,A (2000-2200),Near-zero active time with high score | new user high rank | Weak profile | Low solved high rating
mayank_chaudhary_contests,171,4,2020,3,2,15,1877,207,-1,7,10.0,0.5865058668368331,10.586505866836832,True,B (1800-2000),Near-zero active time with high score | new user high rank | Weak profile | Ghost profile high rank
doubleStar1979,11,4,769,0,3,86,1803,-194,0,7,10.0,0.5718458718538263,10.571845871853826,True,B (1800-2000),Near-zero active time with high score | new user high rank | Perfect solve | Weak profile
absar0920,141,4,1988,3,3,38,1827,122,0,14,10.0,0.5435774305218688,10.543577430521868,True,B (1800-2000),Near-zero active time with high score | new user high rank | Weak profile | Ghost profile high rank
PANKAJy8869,33,4,1447,0,1,107,1925,-13,0,0,10.0,0.5247206696237783,10.524720669623779,True,B (1800-2000),Near-zero active time with high score | new user high rank | Perfect solve | Weak profile
will_buyers,36,4,1503,3,1,4,1549,-384,0,0,10.0,0.42734918470714683,10.427349184707147,True,D (<1600),Near-zero active time with high score | new user high rank | Weak profile | Ghost profile high rank
XYAesdOcsa,59,4,1223,1,2,9,1802,-102,0,7,10.0,0.3444767683822734,10.344476768382274,True,B (1800-2000),Near-zero active time with high score | new user high rank | Weak profile | Ghost profile high rank
alexis_g_alba,55,4,1191,0,3,162,1982,74,0,7,10.0,0.20130474866932085,10.20130474866932,True,B (1800-2000),Near-zero active time with high score | new user high rank | Perfect solve | Weak profile
tendaigom,177,4,2072,0,1,85,1839,-1,0,0,10.0,0.1771502700666335,10.177150270066633,True,B (1800-2000),Near-zero active time with high score | new user high rank | Perfect solve | Weak profile
UiPcBPJ1ro,145,4,2838,3,1,5,1736,-114,0,0,10.0,0.1770130873685933,10.177013087368593,True,C (1600-1800),Near-zero active time with high score | new user high rank | Weak profile | Ghost profile high rank
arijitmajhi0096,186,4,3119,0,3,92,1497,-43,0,22,10.0,0.16967386017334013,10.16967386017334,True,D (<1600),Near-zero active time with high score | new user high rank | Perfect solve | Weak profile
zH1gYIkv15,51,4,1692,0,3,109,1984,147,11,8,10.0,0.11605414388656676,10.116054143886567,True,B (1800-2000),Near-zero active time with high score | new user high rank | Perfect solve | Weak profile
kritikaa_anand20,149,4,2045,0,3,156,2029,242,0,28,10.0,0.11114618255984365,10.111146182559844,True,A (2000-2200),Near-zero active time with high score | new user high rank | Perfect solve | Weak profile
um_nik1,66,4,2001,1,1,4,1676,-221,0,0,10.0,0.1009260716345248,10.100926071634525,True,C (1600-1800),Near-zero active time with high score | new user high rank | Weak profile | Ghost profile high rank
darrenr21,194,4,3159,1,1,68,1967,134,0,0,10.0,0.06567528846561058,10.065675288465611,True,B (1800-2000),Near-zero active time with high score | new user high rank | Weak profile | Low solved high rating
_Abyss,136,4,2809,1,5,19,1869,107,0,49,10.0,0.027972745897929974,10.02797274589793,True,B (1800-2000),Near-zero active time with high score | new user high rank | Weak profile | Ghost profile high rank
wBXT7khLRg,1115,4,12890,25,1,4,2157,436,0,0,7.0,2.7380934182321943,9.738093418232195,True,A (2000-2200),Near-zero active time with high score | Low solved high rating | Ghost profile high rank
shortestpi,233,4,2373,0,2,9,2021,148,0,7,9.0,0.6322977723889395,9.63229777238894,True,A (2000-2200),Near-zero active time with high score | Perfect solve | Low solved high rating | Ghost profile high rank
w7AOsRUeuu,4,4,479,0,6,25,2467,414,0,22,9.0,0.41252111824719695,9.412521118247197,True,S (2200+),Near-zero active time with high score | Weak profile | Low solved high rating | Ghost profile high rank
wtf-rjdp,734,4,4500,0,3,21,1959,180,0,14,9.0,0.39040789332531667,9.390407893325317,True,B (1800-2000),Near-zero active time with high score | Perfect solve | Low solved high rating | Ghost profile high rank
mann_1,3,4,422,0,4,403,2096,272,0,14,8.0,1.3569095851126995,9.3569095851127,True,A (2000-2200),Near-zero active time with high score | new user high rank | Perfect solve
jainee3012,1166,3,3716,0,1,3,2037,319,0,0,9.0,0.25076696639021423,9.250766966390215,True,A (2000-2200),Near-zero active time with high score | Perfect solve | Low solved high rating | Ghost profile high rank
Prince_Negi_0,22,4,1188,0,7,22,1955,470,0,36,9.0,0.1716716486519239,9.171671648651923,True,B (1800-2000),Near-zero active time with high score | Weak profile | Low solved high rating | Ghost profile high rank
SheenTangTun1,71,4,2046,0,3,10,1751,337,0,231,9.0,0.14330555844428186,9.143305558444283,True,C (1600-1800),new user high rank | Perfect solve | Weak profile | Ghost profile high rank
Anirudh_D24,270,4,3674,0,1,6,2222,410,0,0,9.0,0.08807303338308285,9.088073033383083,True,S (2200+),Near-zero active time with high score | Perfect solve | Low solved high rating | Ghost profile high rank
tanviyaduvanshi,1160,3,3510,0,2,23,2107,442,0,8,9.0,0.07959151416430449,9.079591514164305,True,A (2000-2200),Near-zero active time with high score | Perfect solve | Low solved high rating | Ghost profile high rank
3eaOel0LAN,1176,3,3960,0,5,36,2791,1082,0,21,9.0,0.07440304121389375,9.074403041213893,True,S (2200+),Near-zero active time with high score | Perfect solve | Low solved high rating | Ghost profile high rank
hollow_knight_27,404,4,4294,0,1,4,1988,201,0,0,9.0,0.0742868539773866,9.074286853977387,True,B (1800-2000),Near-zero active time with high score | Perfect solve | Low solved high rating | Ghost profile high rank
bhavithreddy_123,1175,3,3897,0,3,9,2098,663,0,21,9.0,0.06733519662792387,9.067335196627925,True,A (2000-2200),Near-zero active time with high score | Perfect solve | Low solved high rating | Ghost profile high rank
piyuzzz,459,4,3229,0,3,22,1918,268,0,22,9.0,0.027661437028758146,9.027661437028758,True,B (1800-2000),Near-zero active time with high score | Perfect solve | Low solved high rating | Ghost profile high rank
yr321,1246,4,8960,12,1,4,1717,0,0,0,8.0,0.9483114755927602,8.94831147559276,True,C (1600-1800),Near-zero active time with high score | Zero rating jump high rating | Ghost profile high rank
rahultudu923,25,4,906,1,5,82,1798,236,0,14,8.0,0.7404410431362771,8.740441043136277,True,C (1600-1800),Near-zero active time with high score | new user high rank | Weak profile
eMi8vGja3l,1357,3,1229,0,1,3,1711,0,0,0,8.0,0.7262367555436661,8.726236755543667,True,C (1600-1800),Near-zero active time with high score | Zero rating jump high rating | Ghost profile high rank
EshaanCodes,718,4,4453,8,1,7,1753,0,0,0,8.0,0.704641838882915,8.704641838882916,True,C (1600-1800),Near-zero active time with high score | Zero rating jump high rating | Ghost profile high rank
abbcdbbc,1112,4,9211,18,2,7,2625,972,0,7,7.0,1.5888243173832515,8.588824317383251,True,S (2200+),Near-zero active time with high score | Low solved high rating | Ghost profile high rank
Narendr_Modi,8,4,795,0,8,61,2828,1012,0,35,7.0,1.5599511770650119,8.559951177065011,True,S (2200+),Near-zero active time with high score | Weak profile | Low solved high rating
VuC7oLjroE,1293,3,8939,12,1,8,1711,0,0,0,8.0,0.5571724038665248,8.557172403866526,True,C (1600-1800),Near-zero active time with high score | Zero rating jump high rating | Ghost profile high rank
Mohit_9315,1318,3,690,0,1,49,1713,0,0,0,8.0,0.5294617500972759,8.529461750097276,True,C (1600-1800),Near-zero active time with high score | Zero rating jump high rating | Ghost profile high rank
AtharvaJill,32,4,997,0,3,262,1989,132,0,14,8.0,0.47872985315902716,8.478729853159027,True,B (1800-2000),Near-zero active time with high score | new user high rank | Perfect solve
kg2006,1515,3,7455,7,1,3,1703,0,0,0,8.0,0.4294959432963106,8.42949594329631,True,C (1600-1800),Near-zero active time with high score | Zero rating jump high rating | Ghost profile high rank
SannidhVarmaPinnamaraju,1529,3,2038,0,1,18,1703,0,0,0,8.0,0.39998385765625777,8.399983857656258,True,C (1600-1800),Near-zero active time with high score | Zero rating jump high rating | Ghost profile high rank
tamilarasan042008,3858,3,5136,0,1,3,1636,0,0,0,8.0,0.3544766876683719,8.354476687668372,True,C (1600-1800),Near-zero active time with high score | Zero rating jump high rating | Ghost profile high rank
UkUNnfDW0y,160,4,2135,4,2,76,1694,279,0,0,8.0,0.2956939065582212,8.29569390655822,True,C (1600-1800),Near-zero active time with high score | new user high rank | Weak profile
anuragthakur1089,80,4,1517,2,2,128,2014,209,0,0,8.0,0.26745546441957313,8.267455464419573,True,A (2000-2200),Near-zero active time with high score | new user high rank | Weak profile
4K2W10Xqv5,3572,3,4828,1,1,20,1642,0,0,0,8.0,0.2649235320996719,8.264923532099672,True,C (1600-1800),Near-zero active time with high score | Zero rating jump high rating | Ghost profile high rank
Neeraj_singh_07,3271,3,2385,2,1,38,1648,0,0,0,8.0,0.24216462001938033,8.24216462001938,True,C (1600-1800),Near-zero active time with high score | Zero rating jump high rating | Ghost profile high rank
Mayureshpatil_cse,2735,3,3867,0,1,3,1662,0,0,0,8.0,0.23370252614166975,8.23370252614167,True,C (1600-1800),Near-zero active time with high score | Zero rating jump high rating | Ghost profile high rank
jaggampudi_santhosh,1399,3,1560,1,1,19,1709,0,0,0,8.0,0.22713101798113178,8.227131017981131,True,C (1600-1800),Near-zero active time with high score | Zero rating jump high rating | Ghost profile high rank
OGqVy8ECpF,4056,3,5354,2,1,4,1632,0,0,0,8.0,0.21849680422430043,8.2184968042243,True,C (1600-1800),Near-zero active time with high score | Zero rating jump high rating | Ghost profile high rank
Madhav32,109,4,2569,0,5,560,1698,41,0,28,8.0,0.19693937874045891,8.196939378740458,True,C (1600-1800),Near-zero active time with high score | new user high rank | Perfect solve
s1mply,1750,3,1035,0,1,16,1693,0,0,0,8.0,0.1947616210247159,8.194761621024716,True,C (1600-1800),Near-zero active time with high score | Zero rating jump high rating | Ghost profile high rank
baibhav3211,1803,3,1144,0,1,18,1691,0,1,0,8.0,0.18922664763347638,8.189226647633477,True,C (1600-1800),Near-zero active time with high score | Zero rating jump high rating | Ghost profile high rank
agreegeous,1493,4,8650,13,1,4,1704,0,0,0,8.0,0.18800616071321935,8.18800616071322,True,C (1600-1800),Near-zero active time with high score | Zero rating jump high rating | Ghost profile high rank
uFUTouFHnr,70,4,1313,2,3,94,1879,432,0,21,8.0,0.16725365597001723,8.167253655970017,True,B (1800-2000),Near-zero active time with high score | new user high rank | Weak profile
Thanmayi_U,3815,3,2724,2,1,5,1636,0,0,0,8.0,0.1638848126675294,8.16388481266753,True,C (1600-1800),Near-zero active time with high score | Zero rating jump high rating | Ghost profile high rank
RScoder007,1681,3,846,0,1,38,1696,0,0,0,8.0,0.16104106362092502,8.161041063620925,True,C (1600-1800),Near-zero active time with high score | Zero rating jump high rating | Ghost profile high rank
LeishangthemHolen,3295,3,4511,0,1,22,1648,0,0,0,8.0,0.13120846659749108,8.13120846659749,True,C (1600-1800),Near-zero active time with high score | Zero rating jump high rating | Ghost profile high rank
Aman_Prakash,990,4,4881,0,1,231,1732,0,0,0,8.0,0.1279481302796016,8.127948130279602,True,C (1600-1800),Near-zero active time with high score | Perfect solve | Zero rating jump high rating
sathish0625,80,4,1379,2,2,133,1912,240,0,7,8.0,0.12556056150785838,8.125560561507859,True,B (1800-2000),Near-zero active time with high score | new user high rank | Weak profile
1KYdBMINeQ,3100,3,2279,0,1,9,1652,0,0,0,8.0,0.12109168607807155,8.121091686078072,True,C (1600-1800),Near-zero active time with high score | Zero rating jump high rating | Ghost profile high rank
exother,3147,3,2307,0,1,11,1651,0,0,0,8.0,0.11539028599875048,8.11539028599875,True,C (1600-1800),Near-zero active time with high score | Zero rating jump high rating | Ghost profile high rank
YkxqdoPcGU,2771,3,3914,2,1,3,1661,0,0,0,8.0,0.11168831458255177,8.111688314582551,True,C (1600-1800),Near-zero active time with high score | Zero rating jump high rating | Ghost profile high rank
sachinyadav_595,1042,4,5538,3,1,15,1729,0,0,0,8.0,0.10481925627659908,8.104819256276599,True,C (1600-1800),Near-zero active time with high score | Zero rating jump high rating | Ghost profile high rank
Keerthana_43,4020,3,5316,2,1,3,1633,0,0,0,8.0,0.1026424317786089,8.102642431778609,True,C (1600-1800),Near-zero active time with high score | Zero rating jump high rating | Ghost profile high rank
trinityjohnson,764,4,4610,1,1,4,1749,0,0,0,8.0,0.1013100290491534,8.101310029049154,True,C (1600-1800),Near-zero active time with high score | Zero rating jump high rating | Ghost profile high rank
X4U2QqT0Xe,4395,3,5826,3,1,3,1626,0,0,0,8.0,0.09976758918887707,8.099767589188877,True,C (1600-1800),Near-zero active time with high score | Zero rating jump high rating | Ghost profile high rank
Hj5Y6CCjHB,687,4,4372,1,1,4,1756,0,0,0,8.0,0.099542604593369,8.099542604593369,True,C (1600-1800),Near-zero active time with high score | Zero rating jump high rating | Ghost profile high rank
Ab_mahin,3163,3,4365,1,1,5,1651,0,0,0,8.0,0.07456211386303457,8.074562113863035,True,C (1600-1800),Near-zero active time with high score | Zero rating jump high rating | Ghost profile high rank
NON-VEG,218,4,2268,1,1,10,1827,0,0,0,8.0,0.0744292540374924,8.074429254037492,True,B (1800-2000),Near-zero active time with high score | Zero rating jump high rating | Ghost profile high rank
slayernullpointer,3563,3,4820,3,1,43,1642,0,0,0,8.0,0.07125437028541774,8.071254370285418,True,C (1600-1800),Near-zero active time with high score | Zero rating jump high rating | Ghost profile high rank
_sumit_jha_,122,4,2661,1,5,176,2051,448,0,28,8.0,0.06761082171278956,8.06761082171279,True,A (2000-2200),Near-zero active time with high score | new user high rank | Weak profile
pranavs_1303,1113,4,9867,17,1,5,2197,476,0,0,7.0,1.0649173627878206,8.06491736278782,True,A (2000-2200),Near-zero active time with high score | Low solved high rating | Ghost profile high rank
anushka_trehan,1553,3,2096,0,1,7,1702,0,0,0,8.0,0.06426617928953844,8.064266179289538,True,C (1600-1800),Near-zero active time with high score | Zero rating jump high rating | Ghost profile high rank
7zoahBeyJo,1156,4,6133,5,1,29,1722,0,0,0,8.0,0.061492221389512346,8.061492221389512,True,C (1600-1800),Near-zero active time with high score | Zero rating jump high rating | Ghost profile high rank
GPK06,2373,3,3415,2,1,13,1672,0,0,0,8.0,0.05639251007624106,8.056392510076241,True,C (1600-1800),Near-zero active time with high score | Zero rating jump high rating | Ghost profile high rank
deepku_13,116,4,2597,0,5,226,1931,189,0,28,8.0,0.051207310078484586,8.051207310078485,True,B (1800-2000),Near-zero active time with high score | new user high rank | Perfect solve
aryan_kumar-123,1067,4,5128,1,1,13,1727,0,0,0,8.0,0.047271235090722466,8.047271235090722,True,C (1600-1800),Near-zero active time with high score | Zero rating jump high rating | Ghost profile high rank
amwariwasi,133,4,2789,1,1,124,1871,16,0,0,8.0,0.046136674760678335,8.046136674760678,True,B (1800-2000),Near-zero active time with high score | new user high rank | Weak profile
OKwnH9Ym5Q,3258,3,4468,1,1,9,1649,0,0,0,8.0,0.04483994257785781,8.044839942577857,True,C (1600-1800),Near-zero active time with high score | Zero rating jump high rating | Ghost profile high rank
aadi03k,667,4,4312,0,1,518,1758,0,0,0,8.0,0.04086540722502791,8.040865407225027,True,C (1600-1800),Near-zero active time with high score | Perfect solve | Zero rating jump high rating
26DLMLPmo8,811,4,4789,1,1,27,1745,0,0,0,8.0,0.04056899088483854,8.040568990884838,True,C (1600-1800),Near-zero active time with high score | Zero rating jump high rating | Ghost profile high rank
LC934118,4986,3,3350,2,1,8,1615,0,0,0,8.0,0.030566783683912458,8.030566783683913,True,C (1600-1800),Near-zero active time with high score | Zero rating jump high rating | Ghost profile high rank
Yazmau,4416,2,6450,4,1,40,1984,364,0,0,7.0,0.8322021945860918,7.832202194586092,True,B (1800-2000),Near-zero active time with high score | Low solved high rating | Ghost profile high rank
Sri_Varun,1599,3,5690,1,4,35,2020,260,0,36,7.0,0.6663745445756899,7.66637454457569,True,A (2000-2200),Near-zero active time with high score | Low solved high rating | Ghost profile high rank
krrishgulia2002,1340,3,1520,0,1,3,2062,353,0,0,7.0,0.6480853605811193,7.64808536058112,True,A (2000-2200),Near-zero active time with high score | Low solved high rating | Ghost profile high rank
shivanii9287,1500,4,14015,33,2,20,1717,127,0,7,5.0,2.632718888630399,7.632718888630399,True,C (1600-1800),Near-zero active time with high score | Ghost profile high rank
SxxT8mZlI3,4411,2,4622,0,3,8,2085,391,0,8,7.0,0.5563080611063376,7.556308061106337,True,A (2000-2200),Near-zero active time with high score | Low solved high rating | Ghost profile high rank
AioUzxxt5J,1783,3,3136,2,1,8,2120,431,0,0,7.0,0.5323069687357167,7.532306968735717,True,A (2000-2200),Near-zero active time with high score | Low solved high rating | Ghost profile high rank
4p82jRNyRf,2583,3,4321,6,1,3,1924,262,0,0,7.0,0.5319643973285545,7.531964397328554,True,B (1800-2000),Near-zero active time with high score | Low solved high rating | Ghost profile high rank
rT6XTWSf17,1110,4,9110,13,3,16,2087,376,0,14,7.0,0.5078350746205484,7.507835074620548,True,A (2000-2200),Near-zero active time with high score | Low solved high rating | Ghost profile high rank
24BLC1093Kavin,224,4,2564,0,2,8,1886,188,0,0,7.0,0.48099325088950384,7.480993250889504,True,B (1800-2000),Near-zero active time with high score | Perfect solve | Ghost profile high rank
potatobrain17,1274,3,5949,4,2,6,2354,733,0,7,7.0,0.4774712132240777,7.477471213224078,True,S (2200+),Near-zero active time with high score | Low solved high rating | Ghost profile high rank
V0MdCSlC8w,3977,3,6177,6,1,3,2612,983,0,0,7.0,0.46728121408106893,7.467281214081069,True,S (2200+),Near-zero active time with high score | Low solved high rating | Ghost profile high rank
Yashkr123,266,4,3612,7,1,8,1916,103,0,0,7.0,0.46143271027908206,7.461432710279082,True,B (1800-2000),Near-zero active time with high score | Low solved high rating | Ghost profile high rank
Divyansh_Bhargava_22,694,4,4386,7,6,20,1934,474,0,49,7.0,0.4332256887159418,7.433225688715941,True,B (1800-2000),Near-zero active time with high score | Low solved high rating | Ghost profile high rank
Sriram51,3405,3,5355,0,3,8,2322,835,0,14,7.0,0.4224556515660194,7.422455651566019,True,S (2200+),Near-zero active time with high score | Low solved high rating | Ghost profile high rank
Bad_Devill45,1445,3,2167,0,4,10,2094,528,0,14,7.0,0.417135983494776,7.417135983494776,True,A (2000-2200),Near-zero active time with high score | Low solved high rating | Ghost profile high rank
duongquang,386,4,4248,3,3,15,1934,90,0,14,7.0,0.41508447010342364,7.415084470103424,True,B (1800-2000),Near-zero active time with high score | Low solved high rating | Ghost profile high rank
pDg8xQpeqd,1335,3,1493,0,5,17,1908,287,0,42,7.0,0.41381513888078003,7.41381513888078,True,B (1800-2000),Near-zero active time with high score | Low solved high rating | Ghost profile high rank
25BYB1205,1281,3,6496,7,1,3,1947,235,0,0,7.0,0.3848083541942323,7.384808354194233,True,B (1800-2000),Near-zero active time with high score | Low solved high rating | Ghost profile high rank
sarabjeetsingh1708,161,4,2138,0,5,64,1790,345,0,574,7.0,0.3805858243847705,7.38058582438477,True,C (1600-1800),new user high rank | Perfect solve | Weak profile
AXNKHXIWt,1509,3,2404,0,8,12,1990,516,0,42,7.0,0.37645542294429163,7.376455422944292,True,B (1800-2000),Near-zero active time with high score | Low solved high rating | Ghost profile high rank
aC6a5fV60W,1583,3,2629,0,5,39,1927,-73,0,21,7.0,0.36506845860849707,7.365068458608497,True,B (1800-2000),Near-zero active time with high score | Low solved high rating | Ghost profile high rank
summebee,1544,3,2499,2,2,7,2044,497,0,8,7.0,0.34855446048016875,7.348554460480169,True,A (2000-2200),Near-zero active time with high score | Low solved high rating | Ghost profile high rank
tXx4xOShCt,1563,3,2571,0,2,5,2008,546,0,28,7.0,0.33941724151247094,7.3394172415124705,True,A (2000-2200),Near-zero active time with high score | Low solved high rating | Ghost profile high rank
Rukashsonowal,1027,4,6935,11,1,4,1916,189,0,0,7.0,0.3341675864382665,7.334167586438267,True,B (1800-2000),Near-zero active time with high score | Low solved high rating | Ghost profile high rank
Hidden_004,3892,3,5999,6,1,3,1953,323,0,0,7.0,0.3311166808596377,7.331116680859638,True,B (1800-2000),Near-zero active time with high score | Low solved high rating | Ghost profile high rank
