Rank,Username,Score,CurrConSolved,time_taken,total_fail,Country,Profile_rank,PostViewCnt,Reputation,Total_solved,Easy,Medium,Hard,ContestCnt,CurrRating,rating_first,GlobalRank,active_days,contest_id
9589,UtkarshPatidar,7,2,662,1,India,496990,3,10,283,80,179,24,29,1686,1492,121869,413,1
6772,Yash_Pawde,12,3,4492,3,,37126,0,18,930,217,580,133,20,1639,1463,158468,84,1
6337,terry_yzy,12,3,4176,1,,1455913,0,0,103,18,61,24,23,1744,1540,87736,287,1
4629,Deepak4003,12,3,3163,0,India,98413,0,0,661,276,330,55,34,1684,1437,122878,414,1
2742,yuu789849,12,3,2053,0,,2287840,0,0,55,15,35,5,13,1823,1517,57995,266,1
3022,KIoTHJhsKT,12,3,2235,2,,2655816,0,0,44,22,16,6,2,1770,1705,76269,49,1
5775,Sarvesh_28,12,3,3812,5,India,25526,310,9,1042,365,620,57,45,1762,1527,79654,526,1
806,nathimike102,18,4,4382,0,,3634040,60,0,25,10,11,4,6,1767,1519,77614,182,1
4120,Lsai_2122,12,3,2886,2,,943088,0,0,164,50,101,13,5,1575,1541,232648,56,1
5745,CapShijin,12,3,3794,1,India,162599,117,421,533,266,239,28,13,1804,1561,64053,624,1
9627,gvk13223240,7,2,684,0,,592378,841,19,250,158,88,4,22,1734,1446,92876,148,1
7833,alakananda_ganti,12,3,5385,0,,2519241,0,0,51,36,14,1,7,1510,1529,352491,50,1
5896,Tusharjain13042006,12,3,3886,1,,271834,0,0,410,120,241,49,9,1702,1597,110852,218,1
6414,Keshav200215,12,3,4229,1,,572064,0,0,251,82,141,28,7,1651,1493,148228,42,1
3309,Arpit_Maheshwari0,12,3,2410,1,,350983,0,0,352,71,226,55,18,2017,1707,18996,288,1
8996,2420030697,8,2,4097,5,,5000001,0,0,10,6,4,0,5,1591,1501,210535,14,1
4077,luvitta_stina,12,3,2867,1,,752201,0,0,202,106,91,5,37,1639,1414,159132,532,1
2274,kailash_mannem,12,3,1674,0,India,100270,0,0,656,321,299,36,50,2028,1527,17854,378,1
9910,Sreekarsarma,7,2,817,0,India,1858038,0,0,75,40,34,1,32,1564,1463,249005,252,1
8223,saurabh8888,12,3,5853,2,,83879,17,0,703,164,414,125,12,1683,1458,123762,344,1
3538,Mohit_Prasoya,12,3,2549,1,India,360850,2,0,346,152,164,30,12,1642,1504,156526,168,1
9951,mushki_2609,7,2,836,0,,362570,0,1,345,197,145,3,34,1437,1496,582124,358,1
5046,Hariprasath12345,12,3,3383,0,India,637980,0,0,231,77,115,39,8,1566,1504,245087,162,1
4194,ambika_gudithoti,12,3,2928,2,,4944311,0,0,13,5,8,0,3,1614,1550,184364,35,1
3608,Suyash_Vikram_Singh,12,3,2592,0,India,40940,29,1,901,324,486,91,77,1759,1491,80840,826,1
2659,AtharvGupta360,12,3,1986,1,India,128295,506,11,593,121,360,112,35,1967,1550,24902,434,1
2981,nini_87,12,3,2209,0,India,218727,0,0,461,188,233,40,9,1690,1523,118880,252,1
1286,mrrahulkaran,18,4,5747,4,,3638785,0,0,25,16,7,2,2,1633,1715,164044,14,1
4121,evandabest,12,3,2886,1,United States,104234,34,1,646,235,358,53,1,1630,1630,167363,0,1
1232,allen_nie,18,4,5583,3,,1621820,0,0,90,25,51,14,20,2375,1737,2961,434,1
9394,mritvik,7,2,538,0,India,1264763,78,6,121,59,59,3,3,1594,1508,206683,112,1
8655,d_zhang2,12,3,8438,16,,683740,0,0,218,71,129,18,1,1567,1568,243413,0,1
463,ArchanDadhania,18,4,3255,5,,2813429,0,0,40,9,20,11,4,1831,1886,55811,14,1
8410,TJG1Q5RL8U,12,3,6219,7,,634778,0,0,232,64,141,27,8,1571,1443,237790,294,1
2634,CodingMation,12,3,1970,0,,1075974,3557,60,144,80,57,7,3,1490,1355,405166,56,1
8265,Sharmaankush,12,3,5911,3,,519898,0,0,270,91,162,17,17,1515,1414,339892,238,1
6689,Kathirvel_57,12,3,4419,0,India,3698127,0,0,24,17,7,0,5,1445,1435,553120,49,1
5328,Leo_Code,12,3,3544,2,United States,92307,167,0,678,233,371,74,14,1376,1475,775500,2884,1
4900,emiksre,12,3,3302,1,,59690,19,0,796,286,387,123,6,1713,1493,104153,64,1
1625,silentguess_o3,12,3,506,0,India,234794,5,0,445,137,241,67,7,1954,1648,26595,232,1
6375,cattail_,12,3,4197,3,,359853,0,2,347,139,166,42,5,1676,1650,128902,21,1
6451,Mitheeledke,12,3,4247,0,India,150699,0,0,553,222,309,22,66,1633,1460,164250,532,1
9451,224g1a0510,7,2,580,0,India,58618,0,0,801,260,419,122,22,1765,1459,78347,448,1
6334,oneshika,12,3,4175,4,,138107,0,0,574,109,348,117,10,1593,1513,207518,364,1
1054,daveaashisth,18,4,5096,0,,4510593,0,0,16,3,10,3,1,1727,1728,96326,0,1
9860,kl2400030305,7,2,792,0,,1027631,0,0,151,103,47,1,30,1563,1473,250286,252,1
5086,osPuOVZsd1,12,3,3409,2,,5000001,0,0,11,5,6,0,3,1585,1614,217995,14,1
6491,Nitesh029,12,3,4272,2,,588923,0,0,248,117,127,4,13,1821,1631,58450,56,1
7285,keshav_1008,12,3,4923,1,,79401,10,0,718,225,418,75,22,1636,1509,162151,700,1
5377,0assu1,12,3,3576,1,,392055,0,0,328,82,197,49,40,1610,1472,187648,596,1
4201,Y3MvNDG85V,12,3,2931,0,India,1316262,0,0,116,59,56,1,1,1628,1629,168798,0,1
8718,Loops001,8,2,1005,0,,93699,9,0,674,286,360,28,72,1718,1457,101213,764,1
25,rahultudu923,18,4,906,1,India,1727941,0,0,82,14,48,20,5,1798,1562,65872,14,1
6080,Dragondevil,12,3,4006,1,,1893474,0,0,73,29,42,2,21,1663,1435,138143,336,1
4621,PrashantGupta2385,12,3,3158,1,,101553,7588,30,653,316,318,19,25,1584,1426,219919,924,1
7823,Rasuib,12,3,5380,2,India,228869,53,3,453,223,219,11,12,1589,1467,212939,385,1
4419,Pratham_2210,12,3,3050,0,,595418,439,1,244,61,151,32,4,1598,1462,201850,316,1
7090,YgO5XgvVBP,12,3,4755,0,,1581354,0,0,93,59,34,0,7,1567,1512,244576,140,1
8646,User___,12,3,7954,9,,96364,1030,10,666,139,379,148,72,1786,1574,70199,1043,1
2644,koushal_31,12,3,1977,0,India,588702,0,0,246,101,124,21,9,1692,1510,117475,385,1
9820,g_shreyas,7,2,769,0,,1610497,0,0,93,75,18,0,12,1554,1474,264690,63,1
9909,kaif194,7,2,816,0,,2218521,0,0,58,36,22,0,26,1548,1484,274248,232,1
5979,GV2023005096,12,3,3932,2,,270673,242,4,412,198,207,7,24,1644,1475,154036,294,1
3707,mushigmfy,12,3,2650,0,,114697,0,0,622,177,372,73,23,1895,1526,37784,210,1
5779,a2415824,12,3,3815,1,India,114442,0,0,624,228,337,59,12,1409,1413,721662,1282,1
8572,abhiraj_gupta_22,12,3,6895,6,,4488962,0,0,19,6,13,0,5,1577,1505,229582,42,1
9478,anuragdaundkar,7,2,593,0,,1768664,0,0,80,36,41,3,10,1597,1415,203652,280,1
9705,Rajveer7896,7,2,721,0,,340165,0,0,362,125,219,18,15,1696,1431,115217,287,1
8626,codingsick,12,3,7605,9,,5000001,0,0,11,5,6,0,4,1617,1494,180988,21,1
5069,ChiragAgrawall,12,3,3395,2,,2386157,0,0,52,13,30,9,10,1636,1450,161891,56,1
7990,Bindu_Runwal,12,3,5540,2,,298000,0,0,392,222,160,10,32,1526,1415,315984,294,1
9119,khwaishchainani,8,2,5259,0,India,1306203,0,0,117,50,53,14,2,1479,1413,435493,7,1
9852,algo_path,7,2,785,0,,3498564,0,0,27,20,7,0,4,1493,1556,396923,14,1
4367,HarshithPyata,12,3,3020,0,,350902,0,0,352,126,199,27,14,1725,1603,97380,196,1
8470,anushka1110,12,3,6411,6,,3088173,0,0,34,14,17,3,7,1628,1538,169059,64,1
7702,Venisha27,12,3,5290,3,,860220,0,0,179,115,62,2,3,1508,1512,357295,246,1
3663,harsh_jais_101,12,3,2623,1,India,440276,0,0,304,171,115,18,14,1675,1714,129503,119,1
4066,RiKan47,12,3,2861,1,,584549,0,0,247,64,140,43,6,1424,1442,626748,1758,1
5720,Meghaaaaa,12,3,3777,5,,144154,0,0,563,170,358,35,75,1924,1529,31636,1142,1
7727,Krishna-8218,12,3,5314,0,,359256,7,0,350,162,168,20,45,1547,1413,276345,512,1
7101,Vineetyadavz,12,3,4763,3,India,769937,0,0,198,81,110,7,5,1535,1478,299129,244,1
2554,Dravyx1577,12,3,1915,1,India,57726,0,0,808,271,412,125,16,1833,1589,54980,168,1
4097,puranrathore41,12,3,2877,2,,158309,0,0,540,162,336,42,7,1644,1415,153903,190,1
7852,princeyadav786,12,3,5398,3,India,153796,1258,11,547,154,311,82,25,1558,1445,257541,330,1
1653,practice_lol,12,3,751,0,India,33813,4,0,961,295,581,85,18,2111,1518,11725,420,1
3450,dlijing4869,12,3,2499,0,United States,107668,0,0,638,150,368,120,24,1862,1474,46670,182,1
4080,abhijitjawale09,12,3,2868,1,India,68313,4,0,758,195,472,91,25,1570,1455,238821,427,1
7622,BansalBansuri,12,3,5210,3,,51093,133,13,842,184,536,122,17,1655,1471,144876,2058,1
3077,prishacsk,12,3,2265,0,,1162444,0,0,133,64,67,2,27,1672,1491,131770,386,1
4266,Vraj2010,12,3,2964,0,India,621451,0,0,236,143,91,2,6,1664,1434,137368,63,1
1513,Dip_003,14,3,6243,5,India,262462,2,0,418,140,226,52,20,1819,1495,59095,238,1
4541,oct2001drdarker,12,3,3117,2,,92316,105,2,678,141,458,79,24,1856,1506,48397,595,1
7493,Karthika_20,12,3,5094,6,India,120691,0,0,609,416,177,16,6,1546,1494,278827,42,1
1525,devarajanmaheshwaran,13,3,2401,0,,4511220,0,0,16,6,9,1,7,1686,1528,121569,56,1
2378,spen_sa,12,3,1771,1,,103455,339,5,650,117,408,125,8,1897,1646,37195,414,1
5872,ashwanikumarsonu1,12,3,3871,1,,1126133,0,0,137,55,75,7,10,1721,1429,100045,721,1
7220,zhangrui1227,12,3,4880,0,United States,431,0,0,2811,535,1546,730,40,1806,1599,63381,1400,1
1687,NAGA_SIDDARTHA_REDDY,12,3,871,1,,5000001,0,0,12,4,7,1,4,1855,1511,48999,63,1
6859,karthikjurmure,12,3,4559,0,,61284,0,0,787,233,447,107,46,1693,1436,117215,1436,1
6550,Pradhakshana_V,12,3,4308,1,,810829,0,0,193,76,98,19,15,1533,1476,302192,182,1
4268,Kashyap2508,12,3,2967,1,India,4766124,0,5,14,8,5,1,2,1682,1628,124340,6,1
8671,Aman-Rathore,12,3,9721,17,,114276,15,2,623,280,313,30,7,1495,1482,390357,70,1
7138,AmirtaVarsan,12,3,4791,0,,1649540,0,0,88,51,35,2,2,1517,1440,336327,7,1
3583,ANIKESH_KUMAR_SINHA,12,3,2580,0,,183481,37,5,504,144,305,55,19,1779,1458,72832,266,1
9158,Priya_dharshini03,8,2,5648,1,India,1013005,0,0,153,91,56,6,24,1411,1505,710896,196,1
3100,1KYdBMINeQ,12,3,2279,0,,5000001,0,0,9,4,5,0,1,1652,1652,147558,0,1
1651,vednav9,12,3,743,1,,410925,0,0,318,94,169,55,5,1807,1520,62955,203,1
6749,_mohiit31,12,3,4471,1,,2809924,0,0,40,16,22,2,1,1590,1590,212394,0,1
3067,Ronita_prem,12,3,2258,0,,278040,0,0,405,255,127,23,60,1485,1434,417475,553,1
5373,pr1y_nsh1,12,3,3572,0,,954206,0,0,162,69,83,10,8,1405,1415,730393,140,1
483,abhinavgautam,18,4,3341,5,India,415043,67,0,316,126,156,34,14,2063,1456,14942,190,1
204,Drunkenstein002,18,4,2207,0,India,320499,1449,8,372,94,229,49,108,2314,1505,4019,1022,1
4626,aryan_aryan,12,3,3162,0,India,30120,24,10,993,334,552,107,45,1615,1424,183240,972,1
5215,Inkunika_Rana,12,3,3489,4,India,390384,0,0,330,117,161,52,5,1608,1559,191033,35,1
1112,anvig29,18,4,5227,4,India,305274,0,0,384,118,203,63,3,1638,1724,160121,7,1
430,SamBillon,18,4,3150,1,United States,1272411,0,0,120,36,66,18,15,2166,1643,8894,560,1
8649,vishwa_dheep123,12,3,8088,11,,1492097,0,0,100,33,59,8,6,1577,1498,229462,70,1
9945,Abhi_Ranjan33,7,2,836,0,,966787,0,0,166,61,91,14,13,1535,1414,297828,610,1
2815,anjalirawat10,12,3,2103,1,,693687,0,0,216,50,148,18,24,1793,1542,67703,188,1
2686,Akshara_8015,12,3,2012,0,,674145,0,0,225,15,91,119,7,1610,1484,188467,56,1
8660,pothanapardhu,12,3,8631,13,,1398880,15,0,108,73,34,1,6,1421,1434,636708,273,1
8158,_animesh7872,12,3,5743,3,,607739,0,0,243,88,139,16,28,1660,1489,141154,588,1
8023,_Rishabh_k,12,3,5577,1,,413163,0,0,319,92,189,38,3,1492,1491,397717,14,1
3119,AnshumohanAcharya2004,12,3,2288,0,India,213419,0,0,467,157,232,78,7,1744,1572,87950,210,1
13,nducy313,18,4,781,0,Vietnam,2146526,0,0,61,11,37,13,5,2408,1899,2534,48,1
2464,Arn8v,12,3,1843,2,India,95112,23,2,670,383,267,20,19,1701,1445,111901,378,1
9907,jyothiswar666,7,2,815,0,,674818,4739,33,221,139,79,3,6,1431,1415,606149,140,1
6495,anirudhkolaghani114,12,3,4274,2,,38902,0,0,915,267,542,106,15,1744,1562,87904,1394,1
3256,Kranthi_Varma,12,3,2374,0,India,134952,0,1,580,175,383,22,83,1817,1452,59815,938,1
4473,Varun-arora04,12,3,3075,1,,168122,132,13,525,167,310,48,24,1816,1571,59957,400,1
4695,ankur_code07,12,3,3202,0,India,23779,386,14,1063,482,542,39,103,1671,1411,132426,1232,1
5908,Rishabh_Sahni_10,12,3,3896,0,,3476946,0,0,27,13,12,2,5,1538,1411,292942,469,1
6009,ranit1010,12,3,3953,0,,2075521,0,0,64,31,31,2,8,1661,1592,139743,63,1
9882,amaze07,7,2,801,0,India,315888,0,0,375,188,167,20,6,1586,1443,217605,1478,1
7468,Abo_Adel,12,3,5073,1,Egypt,2245092,12,0,57,28,24,5,1,1581,1581,224256,0,1
3322,verma_2020,12,3,2417,0,India,14713,0,0,1213,352,732,129,56,1768,1443,77032,1254,1
9879,cowisyummy,7,2,800,0,United States,419064,10,0,314,100,194,20,9,1628,1486,169501,392,1
7151,kushwanthkapa,12,3,4804,0,,1045416,0,0,148,75,69,4,30,1524,1446,320996,1260,1
8969,manusri_12,8,2,3789,1,,3963613,0,0,21,14,5,2,1,1564,1564,248445,0,1
8359,Prathoshini_Devi,12,3,6064,3,,824183,14,0,186,61,108,17,6,1785,1537,70749,70,1
818,nandaniaggrarwal,18,4,4417,2,,301680,0,0,391,98,224,69,18,1956,1591,26289,140,1
3257,raj_kumar_gattadi,12,3,2374,0,,296778,0,0,390,89,247,54,13,1700,1537,112576,56,1
1344,devil_0913,18,4,5956,2,,8166,0,0,1419,322,825,272,27,1974,1484,23947,596,1
1554,PragyaBansal,13,3,4158,0,,470965,0,0,290,71,168,51,18,1677,1493,128198,210,1
7256,Anshuman005,12,3,4904,0,,167530,7,0,526,163,302,61,15,1649,1414,149733,294,1
6793,Lingajothi97,12,3,4511,0,India,323788,0,0,370,247,116,7,22,1434,1413,595557,539,1
8609,rohitgahlawat,12,3,7257,8,India,137030,17,0,576,226,275,75,10,1438,1462,580173,764,1
4898,ishwar_singh26,12,3,3302,1,India,235883,1460,20,443,147,254,42,9,1699,1459,113005,266,1
864,Poseidon1,18,4,4543,2,India,2055777,0,0,65,29,28,8,4,1685,1618,122319,20,1
4613,TakkallapallyRuthvik,12,3,3150,0,,1495098,0,0,100,43,52,5,14,1505,1582,362429,532,1
3886,Sumit_prasad,12,3,2760,1,India,218710,0,0,461,131,285,45,36,1838,1411,53676,700,1
7966,FID0mx6iDi,12,3,5516,1,,875766,0,0,176,88,79,9,3,1684,1603,122711,28,1
9051,manhatajudeen,8,2,4614,0,,881501,0,0,175,109,61,5,22,1330,1452,825699,189,1
7142,varkaa,12,3,4796,2,,265915,4,0,415,241,157,17,10,1724,1545,98227,140,1
7636,RaghottamN,12,3,5224,0,,307160,380,0,386,199,177,10,13,1634,1455,163567,154,1
6105,Akash_singh_8340,12,3,4023,1,India,50051,56,-1,847,280,494,73,12,1649,1494,149596,476,1
6869,aitha_vignesh,12,3,4567,1,India,343166,0,0,359,235,118,6,20,1595,1478,205356,140,1
4632,bryanaryb,12,3,3165,2,Singapore,150554,0,0,552,140,350,62,11,1840,1607,53252,126,1
2790,singlemayank,12,3,2087,0,India,2098404,0,0,63,22,33,8,1,1660,1660,141152,0,1
8709,rvidhyabaran632006,8,2,706,0,,567363,0,0,253,116,119,18,45,1644,1443,154668,756,1
9007,Shivakrishna122,8,2,4168,0,,429403,0,0,310,151,150,9,8,1496,1414,388809,90,1
2844,vinay_aher4,12,3,2120,3,India,280259,0,0,404,198,161,45,7,1727,1587,96336,70,1
8472,V5656,12,3,6427,4,India,371103,0,0,341,138,185,18,8,1545,1505,279483,77,1
8054,suvanshtembe753,12,3,5613,1,India,296652,34,2,394,187,177,30,12,1627,1499,169798,147,1
648,sethiz,18,4,3916,1,India,45365,10087,189,872,360,427,85,10,1734,1581,93114,230,1
8193,yuvraj-chopra,12,3,5815,4,India,277992,0,0,405,136,233,36,5,1522,1521,325621,154,1
8205,Chester-d,12,3,5831,5,,1357236,0,0,112,34,74,4,3,1499,1573,380231,7,1
8397,ankans510,12,3,6178,4,,496856,0,0,279,59,183,37,9,1689,1486,119575,238,1
2934,Shubham_Jee_Shrivastava,12,3,2179,0,,276638,0,1,406,96,265,45,35,2050,1605,15892,596,1
2346,ashishagg70,12,3,1736,1,,265094,38,4,417,85,263,69,14,1851,1590,50162,308,1
5129,AnshikaMiddha,12,3,3445,0,,116827,0,0,618,339,255,24,21,1720,1467,100324,196,1
9350,oL6chhdi60,7,2,508,0,,517630,0,0,271,113,155,3,4,1655,1590,145044,56,1
560,Expert069,18,4,3614,3,India,18710,121,2,1138,253,666,219,66,2098,1485,12581,902,1
3782,prashant1w23,12,3,2700,2,India,290451,0,0,395,109,227,59,22,1922,1462,32024,224,1
2412,manush_mehta,12,3,1801,0,,78152,0,0,722,238,432,52,43,2099,1554,12510,560,1
171,mayank_chaudhary_contests,18,4,2020,3,,4648233,926,-1,15,5,6,4,2,1877,1670,42232,7,1
9313,Yihuuu,7,2,479,0,,1355051,0,0,112,30,71,11,1,1560,1561,253972,0,1
6173,me_bharat,12,3,4062,2,,109395,0,0,634,134,420,80,4,1622,1573,175649,14,1
5771,Sridharan_16,12,3,3810,4,,297836,0,0,389,188,187,14,23,1628,1585,169383,140,1
3930,vMGUk66xUF,12,3,2782,3,India,3492331,0,0,27,15,7,5,3,1610,1416,188182,176,1
48,jacobj2,18,4,1161,0,United States,2854,102,95,1815,496,957,362,134,2890,1623,228,861,1
2550,saisupreetha,12,3,1911,0,India,198701,0,0,484,195,268,21,45,1840,1456,53186,414,1
7332,geekymay21,12,3,4958,3,India,376284,7,1,337,113,206,18,15,1569,1450,241335,364,1
1695,pranjalmishra_01,12,3,886,0,India,487139,119,3,284,85,149,50,10,1741,1535,89290,442,1
